Account,Counterparty,OrderID,OrderPrice,OrderQty,Side,Market,Symbol,VenueExecID,TradePrice,TradeQty,TradeTime,PrimaryPriceFlag,PrimaryLastPx,PrimaryBidPx,PrimaryAskPx
RSIT_ACCOUNT_6,RSEC_PROP,6411097200100 ,0,1,1,ROL,8801,1.66661E+18,2798,1,45085.409648575,1,2790.5,2790,2791
RSIT_ACCOUNT_6,RSEC_PROP,6411102900100 ,0,1,2,ROL,4523,1.66661E+18,10422,1,45085.409769932,1,10450,10445,10455
RSIT_ACCOUNT_6,RSEC_PROP,6411105200100 ,0,2,1,ROL,6952,1.66661E+18,1205,2,45085.409810629,1,1201,1201,1201.5
RSIT_ACCOUNT_9,RSEC_PROP,9408341000100 ,0,1,1,ROL,8595,1.66661E+18,1746,1,45085.409846029,1,1742,1741,1742
RSIT_ACCOUNT_9,RSEC_PROP,9408342600100 ,0,1,1,ROL,4091,1.66661E+18,3095,1,45085.409878897,1,3089,3087,3088
RSIT_ACCOUNT_9,RSEC_PROP,9408347600100 ,0,1,1,ROL,3064,1.66661E+18,2015,1,45085.409975047,1,2010,2010,2010.5
RSIT_ACCOUNT_6,RSEC_PROP,6411117200100 ,0,10,2,ROL,8306,1.66661E+18,962,10,45085.410035644,1,964.9,964.9,965
RSIT_ACCOUNT_9,RSEC_PROP,9408355400100 ,0,30,1,ROL,8002,1.66661E+18,2141,30,45085.410148374,1,2135.5,2135,2136
RSIT_ACCOUNT_6,RSEC_PROP,6411129200100 ,0,4,1,ROL,6920,1.66661E+18,20856,4,45085.410207143,1,20810,20800,20810
RSIT_ACCOUNT_6,RSEC_PROP,6411129500100 ,0,3,1,ROL,4523,1.66661E+18,10479,3,45085.410211396,1,10450,10450,10455
RSIT_ACCOUNT_6,RSEC_PROP,6411133300100 ,0,1,2,ROL,8309,1.66661E+18,5038,1,45085.410274649,1,5054,5050,5053
RSIT_ACCOUNT_9,RSEC_PROP,9408373300100 ,0,10,2,ROL,8630,1.66661E+18,6130,10,45085.410470383,1,6146,6144,6147
RSIT_ACCOUNT_6,RSEC_PROP,6411146000100 ,0,10,2,ROL,9697,1.66661E+18,5573,10,45085.41050225,1,5586,5586,5587
RSIT_ACCOUNT_9,RSEC_PROP,9408381100100 ,0,1,1,ROL,4507,1.66661E+18,6084,1,45085.410608631,1,6069,6067,6070
RSIT_ACCOUNT_6,RSEC_PROP,6411162100100 ,0,1,1,ROL,7269,1.66661E+18,4963,1,45085.410741796,1,4952,4950,4952
RSIT_ACCOUNT_9,RSEC_PROP,9408393300100 ,0,2,2,ROL,6532,1.66661E+18,5371,2,45085.410831389,1,5386,5383,5387
RSIT_ACCOUNT_6,RSEC_PROP,6411172100100 ,0,2,1,ROL,9432,1.66661E+18,4107,2,45085.410900989,1,4097,4096,4097
RSIT_ACCOUNT_6,RSEC_PROP,6411173400100 ,0,10,1,ROL,8002,1.66661E+18,2140,10,45085.410916785,1,2134,2134,2135
RSIT_ACCOUNT_6,RSEC_PROP,6411176700100 ,0,10,1,ROL,8591,1.66661E+18,2449,10,45085.410981005,1,2442.5,2442.5,2443
RSIT_ACCOUNT_9,RSEC_PROP,9408401800100 ,0,10,2,ROL,5411,1.66661E+18,1885,10,45085.411038165,1,1890,1889.5,1890.5
RSIT_ACCOUNT_9,RSEC_PROP,9408412700100 ,0,3,2,ROL,6098,1.66661E+18,4391,3,45085.41127412,1,4402,4401,4403
RSIT_ACCOUNT_6,RSEC_PROP,6411198600100 ,0,2,1,ROL,2914,1.66661E+18,3121,2,45085.41141537,1,3114,3113,3114
RSIT_ACCOUNT_6,RSEC_PROP,6411203000100 ,0,3,1,ROL,9143,1.66661E+18,2025,3,45085.411498814,1,2019.5,2019.5,2020
RSIT_ACCOUNT_6,RSEC_PROP,6411206500100 ,0,4,1,ROL,9432,1.66661E+18,4104,4,45085.411569919,1,4093,4093,4094
RSIT_ACCOUNT_6,RSEC_PROP,6411213300100 ,0,2,1,ROL,9432,1.66661E+18,4104,2,45085.411684061,1,4093,4093,4094
RSIT_ACCOUNT_9,RSEC_PROP,9408436600100 ,0,2,1,ROL,6965,1.66661E+18,7067,2,45085.411730228,1,7042,7042,7051
RSIT_ACCOUNT_6,RSEC_PROP,6411223600100 ,0,1,1,ROL,4523,1.66661E+18,10453,1,45085.411863725,1,10425,10420,10430
RSIT_ACCOUNT_9,RSEC_PROP,9408442700100 ,0,1,2,ROL,6954,1.66661E+18,4981,1,45085.411876988,1,4993,4992,4995
RSIT_ACCOUNT_6,RSEC_PROP,6411233800100 ,0,1,2,ROL,8058,1.66661E+18,6108,1,45085.412036981,1,6122,6122,6123
RSIT_ACCOUNT_9,RSEC_PROP,9408454900100 ,0,1,2,ROL,6967,1.66661E+18,5359,1,45085.412167217,1,5373,5371,5373
RSIT_ACCOUNT_6,RSEC_PROP,6411254000100 ,0,1,1,ROL,6758,1.66661E+18,13550,1,45085.412407606,1,13515,13515,13520
RSIT_ACCOUNT_9,RSEC_PROP,9408468900100 ,0,10,1,ROL,1911,1.66661E+18,3262,10,45085.412494433,1,3252,3252,3254
RSIT_ACCOUNT_9,RSEC_PROP,9408474600100 ,0,17,2,ROL,8306,1.66661E+18,961,17,45085.412615163,1,963.8,963.8,964
RSIT_ACCOUNT_6,RSEC_PROP,6411271000100 ,0,50,1,ROL,6594,1.66661E+18,7293,50,45085.412706684,1,7275,7274,7276
RSIT_ACCOUNT_6,RSEC_PROP,6411273800100 ,0,1,1,ROL,4063,1.66661E+18,4513,1,45085.412748509,1,4501,4501,4503
RSIT_ACCOUNT_6,RSEC_PROP,6411281300100 ,0,1,1,ROL,2914,1.66661E+18,3122,1,45085.412876464,1,3113,3113,3115
RSIT_ACCOUNT_6,RSEC_PROP,6411282800100 ,0,17,2,ROL,6752,1.66661E+18,1613,17,45085.412888124,1,1617.5,1617,1617.5
RSIT_ACCOUNT_6,RSEC_PROP,6411286200100 ,0,1,1,ROL,8593,1.66661E+18,772,1,45085.412960909,1,769.9,769.8,769.9
RSIT_ACCOUNT_9,RSEC_PROP,9408493300100 ,0,70,2,ROL,7269,1.66661E+18,4924,70,45085.413100566,1,4936,4935,4937
RSIT_ACCOUNT_6,RSEC_PROP,6411296100100 ,0,10,1,ROL,7211,1.66661E+18,479,10,45085.413132769,1,477.6,477.4,477.7
RSIT_ACCOUNT_6,RSEC_PROP,6411302800100 ,0,7,1,ROL,2503,1.66661E+18,2109,7,45085.413245286,1,2103,2103,2103.5
RSIT_ACCOUNT_6,RSEC_PROP,6411311500100 ,0,5,2,ROL,4523,1.66661E+18,10427,5,45085.413409243,1,10460,10450,10460
